status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
669417179838095_1011255458987597,"What's good, Fresh Fam? Drop a comment about something positive you're working on in your life. 💯💯💯",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1011255458987597/?type=3,https://www.facebook.com/FreshEmpire/posts/1011255458987597:0,2016-08-02 15:00:01,5312,117,34,5204,80,24,1,3,0
669417179838095_1010574229055720,Sage The Gemini sits down with Fresh Empire to share why losing 10 years of life to cigs goes against his hustle.,Sage the Gemini's Come Up (Part 1),video,https://www.facebook.com/FreshEmpire/videos/1010574229055720/,https://www.facebook.com/FreshEmpire/videos/1010574229055720/,2016-08-01 14:04:16,3613,68,392,3348,224,36,5,0,0
669417179838095_1010528309060312,"Smoking cigarettes can cut your life short by 10 years, scamming you out of your future. LIKE if you're chasing life instead of death.",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1010528309060312/?type=3,https://www.facebook.com/FreshEmpire/posts/1010528309060312:0,2016-08-01 12:30:01,461,2,16,453,7,0,1,0,0
669417179838095_1010371799075963,,Fresh Empire's cover photo,photo,https://www.facebook.com/FreshEmpire/photos/a.711977672248712.1073741827.669417179838095/1010371799075963/?type=3,https://www.facebook.com/FreshEmpire/posts/1010371862409290,2016-08-01 08:05:24,50,1,6,47,3,0,0,0,0
669417179838095_1009943172452159,"SHARE if you're livin' tobacco-free cause you want the young ones to be just as fresh as you. If you smoke, they're more likely to smoke, too.",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1009943172452159/?type=3,https://www.facebook.com/FreshEmpire/posts/1009943172452159:0,2016-07-31 15:00:01,35,1,2,35,0,0,0,0,0
669417179838095_1008444232602053,LIKE if you 👀  at the 🌎  differently and stay focused on your hustle. 💯 💯 💯,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1008444232602053/?type=3,https://www.facebook.com/FreshEmpire/posts/1008444232602053:0,2016-07-29 12:00:01,21,4,2,21,0,0,0,0,0
669417179838095_1007224879390655,LIKE if you're showing the fam how to step up their kick game because success follows success.,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1007224879390655/?type=3,https://www.facebook.com/FreshEmpire/posts/1007224879390655:0,2016-07-27 16:00:02,25,2,1,24,1,0,0,0,0
669417179838095_1007103176069492,"Who fell through and kicked it with Fresh Empire the weekend of 7.18 - 7.24? TAG yourself or your squad if you were at the G-Eazy & Logic Tour and All Summer '16: Queen City Come Up in Charlotte, Do It For The #Fresh: Jersey Edition and Fresh 4 Da Summer in New Jersey, Peace on the Streets-Dell Music Center in Philadelphia, Bring it! Live Tour in Houston and Dallas, Let's Roll: DC Edition in Washington, DC, ShowUp Show Out-Battle Royale in North Carolina, Overtown Music Festival in Miami or Drew League Summer Basketball in Los Angeles.",Fresh Empire,photo,https://www.facebook.com/FreshEmpire/photos/a.1007057786074031.1073741919.669417179838095/1007067909406352/?type=3,https://www.facebook.com/FreshEmpire/posts/1007103176069492,2016-07-27 11:56:27,909,3,0,892,14,2,1,0,0
669417179838095_1006456779467465,"As the big sis, it's your job to keep the bond tight by living tobacco-free! If you smoke, she's more likely to smoke too and that's never a win. Tag your sis in if you both live tobacco-free. 💕💞💕💞",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1006456779467465/?type=3,https://www.facebook.com/FreshEmpire/posts/1006456779467465:0,2016-07-26 12:15:01,24,5,8,21,3,0,0,0,0
669417179838095_1005653502881126,"Which side of the mural do you vibe with the most? No matter which freestyle you're into, bring twice the 🔥 with the fam and stay tobacco-free.",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1005653502881126/?type=3,https://www.facebook.com/FreshEmpire/posts/1005653502881126:0,2016-07-25 10:00:01,1816,24,8,1777,28,7,3,0,1
